,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(40, 26)",-68.3,-69.75074444221859,0.979596952924508,<rdkit.Chem.rdchem.Mol object at 0x7fce343bf630>,-17.7,Nc1ccc(C(=O)Br)cc1C=O,9.0,rdkit_embed_scoring_NH3plustoNH3
"(15, 43)",-68.0,-68.37423375567391,0.994281840646584,<rdkit.Chem.rdchem.Mol object at 0x7fce343261f0>,-10.3,Nc1cc(C=O)c(C(=O)O)cc1C=O,11.0,rdkit_embed_scoring_NH3plustoNH3
"(29, 39)",-66.7,-66.69505572483453,0.99984602166241,<rdkit.Chem.rdchem.Mol object at 0x7fce3432f370>,-3.2,N=Cc1cc(C(=O)O)ccc1N,11.0,rdkit_embed_scoring_NH3plustoNH3
"(50, 36)",-66.2,-68.26995781183773,0.969573492069944,<rdkit.Chem.rdchem.Mol object at 0x7fce343bf7b0>,-18.2,Nc1cc(Cl)c(C(=O)C=O)cc1C=O,5.0,rdkit_embed_scoring_NH3plustoNH3
"(44, 41)",-65.9,-68.64371021060774,0.9601534334924314,<rdkit.Chem.rdchem.Mol object at 0x7fce343bfb30>,-20.9,Nc1cc(C(=O)C(=O)Cl)ccc1C(=O)F,7.0,rdkit_embed_scoring_NH3plustoNH3
"(22, 49)",-64.1,-74.57367583238354,0.8593594049119677,<rdkit.Chem.rdchem.Mol object at 0x7fce34326930>,-23.0,Nc1cc(C=O)c(C=O)cc1C=O,10.0,rdkit_embed_scoring_NH3plustoNH3
"(50, 32)",-63.6,-63.64322661617896,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34346a70>,-22.4,Cc1cc(N)c(C=O)cc1C(=O)Cl,10.0,rdkit_embed_scoring_NH3plustoNH3
"(14, 35)",-63.5,-63.510779491059786,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce343262b0>,-21.0,Nc1cc(Cl)c(C(=O)O)cc1C=O,10.0,rdkit_embed_scoring_NH3plustoNH3
"(30, 14)",-62.9,-62.86059794093974,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce3432f2b0>,7.2,CC(=O)c1cc(O)c(N)c(C=O)c1,6.0,rdkit_embed_scoring_NH3plustoNH3
"(6, 33)",-76.2,-81.2860001446885,0.9371425111007048,<rdkit.Chem.rdchem.Mol object at 0x7fce3429a4b0>,-1.5,N#Cc1cnc(C#N)c(N)c1,8.0,rdkit_embed_scoring_NH3plustoNH3
"(18, 10)",-75.0,-80.842263862642,0.927501242979902,<rdkit.Chem.rdchem.Mol object at 0x7fce3429a930>,-5.1,N#Cc1ccnc(C(=O)Cl)c1N,3.0,rdkit_embed_scoring_NH3plustoNH3
"(42, 5)",-73.9,-79.04297288354238,0.9348501610190928,<rdkit.Chem.rdchem.Mol object at 0x7fce3429ac70>,-9.4,N#Cc1ncc(C(=O)CO)cc1N,10.0,rdkit_embed_scoring_NH3plustoNH3
"(27, 13)",-73.6,-84.10569995787411,0.8745902411127968,<rdkit.Chem.rdchem.Mol object at 0x7fce3429adb0>,-20.9,N#Cc1ccnc(C#N)c1N,6.0,rdkit_embed_scoring_NH3plustoNH3
"(36, 17)",-71.3,-71.26711111327621,0.9999998138042532,<rdkit.Chem.rdchem.Mol object at 0x7fce3429ad70>,-25.8,N#Cc1ncc(CC(=O)O)cc1N,8.0,rdkit_embed_scoring_NH3plustoNH3
"(30, 39)",-71.4,-77.37972021799465,0.923291886418168,<rdkit.Chem.rdchem.Mol object at 0x7fce342109f0>,-43.6,NC(CC(=S)C=O)c1cccc(F)c1,7.0,rdkit_embed_scoring_NH3plustoNH3
"(23, 31)",-67.7,-68.26545383937851,0.9923426611337264,<rdkit.Chem.rdchem.Mol object at 0x7fce341fcd30>,-1.2,NC(CC(F)=S)c1cccc(F)c1,6.0,rdkit_embed_scoring_NH3plustoNH3
"(30, 24)",-65.7,-65.65567172398826,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce34210630>,-7.7,Nc1ccc(F)c(F)c1C(=O)F,11.0,rdkit_embed_scoring_NH3plustoNH3
"(43, 39)",-65.3,-67.54498535844986,0.9664085671235946,<rdkit.Chem.rdchem.Mol object at 0x7fce341ec130>,-30.0,Nc1ccc(F)cc1C(=O)C(F)=S,10.0,rdkit_embed_scoring_NH3plustoNH3
"(40, 15)",-65.0,-66.17183356570368,0.9824124564854004,<rdkit.Chem.rdchem.Mol object at 0x7fce34210b70>,-9.6,NC(CC=S)c1cccc(F)c1,5.0,rdkit_embed_scoring_NH3plustoNH3
"(44, 48)",-64.2,-64.24867127392729,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce341ec1b0>,-28.1,Nc1ccccc1C(=O)C(F)=S,9.0,rdkit_embed_scoring_NH3plustoNH3
